date_time,Temperature,Humidity,Light,CO2,HumidityRatio,P_sat,vapor_pressure,OLD_TEMP
12/1/2022 0:00,21.86,51,0,1363,0.060457254,17.59593022,8.973924413,2186
12/1/2022 0:10,21.86,51,0,1363,0.060457254,17.59593022,8.973924413,2186
12/1/2022 0:20,21.91,51,0,1662,0.060604968,17.63510517,8.993903636,2191
12/1/2022 0:30,22.09,50,0,769,0.059825384,17.77672569,8.888362846,2209
12/1/2022 0:40,23.05,50,0,689,0.062681922,18.54782038,9.273910192,2305
12/1/2022 0:50,24,47,0,658,0.061306341,19.33755357,9.088650178,2400
12/1/2022 1:00,24.3,47,0,631,0.062195651,19.59256511,9.208505601,2430
12/1/2022 1:10,24.37,46,0,615,0.060946999,19.65246069,9.040131916,2437
12/1/2022 1:20,24.28,45,0,571,0.059240085,19.57547946,8.808965757,2428
12/1/2022 1:30,24.12,45,0,542,0.058788794,19.43923126,8.747654065,2412
12/1/2022 1:40,23.81,46,0,529,0.059333359,19.17745151,8.821627695,2381
12/1/2022 1:50,23.55,46,0,527,0.058597603,18.96011872,8.721654609,2355
12/1/2022 2:00,23.32,46,0,497,0.057953735,18.76954231,8.633989461,2332
12/1/2022 2:10,22.86,46,0,503,0.056685418,18.39307951,8.460816574,2286
12/1/2022 2:20,22.52,47,0,497,0.057087889,18.11880652,8.515839066,2252
12/1/2022 2:30,22.36,47,0,477,0.056648177,17.99089799,8.455722055,2236
12/1/2022 2:40,22.13,47,0,482,0.056021523,17.80832279,8.369911711,2213
12/1/2022 2:50,21.86,48,0,470,0.056577461,17.59593022,8.446046507,2186
12/1/2022 3:00,21.84,48,0,486,0.056522567,17.58028017,8.438534483,2184
12/1/2022 3:10,21.73,48,0,490,0.056221524,17.49440815,8.397315911,2173
12/1/2022 3:20,21.46,48,0,511,0.055488811,17.28508426,8.296840447,2146
12/1/2022 3:30,21.53,48,0,520,0.05567793,17.33915573,8.322794749,2153
12/1/2022 3:40,21.39,48,0,525,0.05530028,17.23115076,8.270952363,2139
12/1/2022 3:50,21.3,48,0,538,0.055058743,17.16200996,8.237764779,2130
12/1/2022 4:00,21.26,48,0,539,0.054951703,17.13135363,8.22304974,2126
12/1/2022 4:10,21.12,48,0,549,0.054578559,17.02440894,8.17171629,2112
12/1/2022 4:20,21.19,48,0,548,0.054764841,17.07781281,8.197350151,2119
12/1/2022 4:30,21.11,48,0,548,0.054551995,17.01679098,8.168059668,2111
12/1/2022 4:40,21.01,48,0,557,0.054287,16.94076459,8.131567003,2101
12/1/2022 4:50,20.92,48,0,555,0.054049509,16.87257862,8.098837738,2092
12/1/2022 5:00,20.95,48,0,560,0.054128567,16.89528228,8.109735497,2095
12/1/2022 5:10,20.85,48,0,557,0.05386545,16.81970045,8.073456217,2085
12/1/2022 5:20,20.81,48,0,556,0.053760531,16.78954528,8.058981734,2081
12/1/2022 5:30,20.84,49,0,473,0.055060143,16.81215751,8.237957179,2084
12/1/2022 5:40,20.83,50,0,421,0.056257975,16.80461733,8.402308666,2083
12/1/2022 5:50,20.78,50,0,414,0.056120525,16.76695794,8.38347897,2078
12/1/2022 6:00,20.84,50,0,431,0.056285502,16.81215751,8.406078754,2084
12/1/2022 6:10,20.93,50,0,469,0.056533801,16.88014373,8.440071867,2093
12/1/2022 6:20,20.9,51,0,513,0.057684648,16.85745671,8.597302924,2090
12/1/2022 6:30,20.97,53,0,538,0.060373031,16.91043194,8.962528928,2097
12/1/2022 6:40,20.96,49,0,556,0.05538363,16.90285572,8.282399305,2096
12/1/2022 6:50,21.02,52,0,568,0.059270864,16.9483547,8.813144446,2102
12/1/2022 7:00,20.94,50,0,604,0.056561452,16.88771162,8.443855811,2094
12/1/2022 7:10,21.19,50,0,733,0.057256761,17.07781281,8.538906407,2119
12/1/2022 7:20,21.16,51,0,738,0.058423774,17.05490869,8.69800343,2116
12/1/2022 7:30,21.12,50,0,733,0.057061289,17.02440894,8.512204469,2112
12/1/2022 7:40,21.12,51,0,705,0.058309499,17.02440894,8.682448558,2112
12/1/2022 7:50,21.11,50,0,682,0.057033414,17.01679098,8.508395488,2111
12/1/2022 8:00,21.07,51,0,660,0.058166944,16.986347,8.663036972,2107
12/1/2022 8:10,21.13,50,0,691,0.057089176,17.03202969,8.516014845,2113
12/1/2022 8:20,21.15,50,0,675,0.057144987,17.04727956,8.523639782,2115
12/1/2022 8:30,21.37,50,1,648,0.05776223,17.21576648,8.607883242,2137
12/1/2022 8:40,21.04,50,1,640,0.056838641,16.96354327,8.481771637,2104
12/1/2022 8:50,21.23,50,1,801,0.057368735,17.10839078,8.55419539,2123
12/1/2022 9:00,21.19,50,1,734,0.057256761,17.07781281,8.538906407,2119
12/1/2022 9:10,21.26,51,1,728,0.058710364,17.13135363,8.736990349,2126
12/1/2022 9:20,21.29,51,2,781,0.058796593,17.15434167,8.748714252,2129
12/1/2022 9:30,21.07,50,1,770,0.05692204,16.986347,8.493173502,2107
12/1/2022 9:40,21.07,50,2,763,0.05692204,16.986347,8.493173502,2107
12/1/2022 9:50,21.16,50,2,749,0.057172912,17.05490869,8.527454343,2116
12/1/2022 10:00,21.19,50,4,723,0.057256761,17.07781281,8.538906407,2119
12/1/2022 10:10,21.16,49,8,750,0.055926641,17.05490869,8.356905257,2116
12/1/2022 10:20,21.07,50,9,722,0.05692204,16.986347,8.493173502,2107
12/1/2022 10:30,21.14,52,1,1181,0.059620753,17.03965323,8.86061968,2114
12/1/2022 10:40,21.08,50,0,983,0.056949865,16.99395382,8.496976908,2108
